"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"299","S01000299",2004,18,161,NA,NA,5339,NA,NA
"300","S01000300",2004,39,468,NA,NA,4742,NA,NA
"301","S01000301",2004,12,205,NA,NA,4807,NA,NA
"302","S01000302",2004,4,67,NA,NA,4671,NA,NA
"303","S01000303",2004,9,148,NA,NA,4393,NA,NA
"304","S01000304",2004,4,41,NA,NA,6372,NA,NA
"305","S01000305",2004,16,141,NA,NA,5680,NA,NA
"306","S01000306",2004,7,87,NA,NA,5067,NA,NA
"307","S01000307",2004,15,156,NA,NA,6404,NA,NA
"308","S01000308",2004,80,854,NA,NA,5220,NA,NA
"309","S01000309",2004,28,313,NA,NA,4687,NA,NA
"310","S01000310",2004,12,123,NA,NA,5770,NA,NA
"311","S01000311",2004,70,795,NA,NA,6343,NA,NA
"312","S01000312",2004,19,300,NA,NA,4865,NA,NA
"313","S01000313",2004,NA,NA,NA,NA,5796,NA,NA
"314","S01000314",2004,5,87,NA,NA,5028,NA,NA
"315","S01000315",2004,15,223,NA,NA,6222,NA,NA
"316","S01000316",2004,28,360,NA,NA,4826,NA,NA
"317","S01000317",2004,8,150,NA,NA,4643,NA,NA
"318","S01000318",2004,6,100,NA,NA,6474,NA,NA
"319","S01000319",2004,36,506,NA,NA,5585,NA,NA
"320","S01000320",2004,7,98,NA,NA,5710,NA,NA
"321","S01000321",2004,10,180,NA,NA,4912,NA,NA
"322","S01000322",2004,5,48,NA,NA,6217,NA,NA
"323","S01000323",2004,8,86,NA,NA,5437,NA,NA
"324","S01000324",2004,14,162,NA,NA,5971,NA,NA
"325","S01000325",2004,NA,NA,NA,NA,4780,NA,NA
"326","S01000326",2004,40,509,NA,NA,4447,NA,NA
"327","S01000327",2004,16,184,NA,NA,5818,NA,NA
"328","S01000328",2004,23,409,NA,NA,4011,NA,NA
"329","S01000329",2004,50,862,NA,NA,3662,NA,NA
"330","S01000330",2004,6,67,NA,NA,5126,NA,NA
"331","S01000331",2004,12,207,NA,NA,4327,NA,NA
"332","S01000332",2004,48,666,NA,NA,5695,NA,NA
"333","S01000333",2004,27,288,NA,NA,5159,NA,NA
"334","S01000334",2004,27,309,NA,NA,4408,NA,NA
